"age","gender","pre_ideology_1","pre_economic_situation","pre_political_interest","pre_religion_importance","total_museums","pre_conf_gov","pre_inst_gov","pre_current_ineq","pre_positive","pre_negative","treatmentgroup","f3","democracy"
23,2,5,4,1,2,2,1,0,4,14,5,0,0,2
24,2,5,3,3,1,7,0,0,4,17,3,1,0,0
20,2,6,2,2,1,8,1,0,4,11,12,0,1,1
20,2,7,2,2,2,3,1,0,4,30,7,0,1,0
19,2,6,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1
21,2,4,3,1,2,5,1,0,4,15,2,1,1,2
21,2,3,2,1,0,7,0,0,4,5,2,0,1,1
25,2,3,4,2,0,4,1,0,4,22,17,1,0,1
25,2,6,3,2,1,5,0,0,3,24,19,1,1,2
19,2,5,2,0,2,5,1,0,4,30,25,0,1,1
19,2,4,2,1,2,4,0,0,4,11,4,1,0,1
22,2,7,3,2,3,5,0,0,4,23,2,1,0,1
20,2,6,2,2,1,3,1,0,NA,19,3,0,1,1
21,2,9,2,2,3,7,1,0,0,11,1,1,1,2
21,1,6,2,1,2,3,1,0,4,26,11,1,1,1
27,1,6,2,1,3,10,0,0,3,13,3,1,1,1
21,2,5,4,2,1,9,0,0,4,32,6,0,0,1
22,1,6,4,2,2,3,1,0,4,10,3,1,0,2
20,2,6,2,3,3,4,0,0,3,20,8,1,0,1
20,2,5,2,1,1,1,0,0,4,8,4,0,0,1
20,1,9,3,2,2,7,2,1,3,21,3,0,0,3
20,2,3,2,1,0,5,0,0,3,20,3,0,0,1
19,2,5,3,1,1,5,1,1,3,10,20,0,0,1
20,2,8,2,1,3,5,0,0,1,6,14,1,0,1
19,2,9,3,2,3,2,1,0,4,16,5,1,1,1
22,1,6,1,1,1,3,1,0,3,26,9,1,0,1
19,1,7,4,2,3,2,NA,NA,1,17,6,1,0,2
20,1,5,4,1,0,4,1,0,4,19,6,0,1,2
26,1,8,3,1,2,4,0,0,4,23,2,0,0,3
21,2,7,3,2,3,3,2,1,4,18,2,0,1,2
21,1,8,3,0,3,1,1,0,4,16,6,0,1,1
20,2,2,3,1,NA,7,0,0,4,16,8,0,0,0
19,1,6,2,1,2,1,0,0,4,23,5,0,0,2
20,2,2,2,1,0,9,2,1,4,5,0,1,1,2
20,2,3,2,2,1,5,2,1,4,28,9,0,1,1
19,2,4,3,2,0,3,1,0,4,19,3,1,0,1
20,1,9,4,1,3,4,1,0,4,17,4,1,1,1
20,1,4,4,1,2,2,2,0,4,25,8,0,0,1
19,2,1,1,3,0,4,0,0,4,16,4,1,0,1
19,2,4,3,1,0,5,2,1,4,21,2,1,1,2
18,2,4,2,NA,2,4,1,0,4,17,4,1,1,2
20,2,5,3,1,1,6,2,1,3,14,8,1,0,2
20,1,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
19,1,5,2,1,2,5,1,0,4,24,6,0,0,1
21,1,5,1,2,3,6,2,1,3,23,4,1,0,2
21,1,7,2,2,2,6,0,0,3,30,9,1,1,1
22,2,1,3,2,0,10,1,0,4,21,5,0,1,1
19,2,4,2,2,0,8,0,0,4,22,9,0,0,1
20,2,4,1,1,1,7,0,0,4,11,5,0,1,1
20,2,4,3,1,2,4,2,1,4,19,23,1,0,2
20,2,7,4,1,0,4,0,0,3,21,4,1,1,2
19,2,6,2,1,2,8,1,0,3,22,3,0,0,1
25,2,4,3,2,2,4,1,0,4,19,6,0,1,1
19,1,3,2,2,0,5,0,0,4,27,14,0,0,1
20,2,7,3,1,1,5,0,0,4,15,9,1,0,1
20,2,4,2,1,2,3,1,0,3,4,1,1,0,2
19,2,5,2,1,3,NA,2,NA,3,30,8,0,1,2
20,2,5,4,2,0,6,1,0,4,6,10,0,0,2
22,2,7,2,1,2,3,1,0,4,25,2,0,1,0
20,2,1,3,2,2,5,0,0,4,13,3,0,1,1
